Path, x_meters, y_meters, angle_degrees, zoom_m_per_px
img0.png,400.062,1400.04,45,0.350011
img1.png,462.014,1338.09,45,0.350011
img2.png,523.966,1276.14,45,0.350011
img3.png,585.918,1214.19,45,0.350011
img4.png,647.87,1152.24,45,0.350011
img5.png,709.822,1090.28,45,0.350011
img6.png,771.774,1028.33,45,0.350011
img7.png,833.726,966.38,45,0.350011
img8.png,895.677,904.428,45,0.350011
img9.png,957.629,842.476,45,0.350011
img10.png,1019.58,780.524,45,0.350011
img11.png,1081.53,718.572,45,0.350011
img12.png,1143.49,656.62,45,0.350011
img13.png,1205.44,594.668,45,0.350011
img14.png,1267.39,532.716,45,0.350011
img15.png,1329.34,470.764,45,0.350011
