#BEGIN frameIdx[0], TimeInSec[1], FlagAnimationStart[2], batteryPercent[3], Roll[4], Pitch[5], Yaw[6], Vx[7], Vy[8], Vz[9], Vmag[10], Altitude[11], PosLatitude(ax)[12], PosLongitude(ay)[13], PosElevation(az)[14]
6196, 1573.78, -1, 79, 0.00394444, 0.0159523, 1.99224, 0.0318023, 0.0526266, 0.0322895, 0.0694518, 0.725, 2032, 1992, 2492
6197, 1613.52, -1, 79, 0.00490438, 0.0139277, 1.99221, 0.0316591, 0.0439734, 0.0291722, 0.0615385, 0.727, 2020, 2008, 2484
6198, 1653.15, -1, 79, 0.00486947, 0.0110479, 1.99208, 0.031115, 0.0429167, 0.0296707, 0.0607481, 0.729, 2008, 2076, 2524
6199, 1685.39, -1, 79, 0.00481711, 0.00877901, 1.9921, 0.0355775, 0.0455789, 0.026948, 0.0637918, 0.73, 2000, 2068, 2524
6200, 1716.76, -1, 79, 0.00537561, 0.00715585, 1.99219, 0.042777, 0.0473617, 0.0247169, 0.0684392, 0.731, 1996, 2048, 2524
6201, 1746.98, -1, 79, 0.00616101, 0.0055676, 1.99249, 0.0422423, 0.0428871, 0.0241506, 0.0648611, 0.732, 1960, 2044, 2520
6202, 1777.82, -1, 79, 0.00663225, 0.00356047, 1.99294, 0.0374326, 0.043382, 0.0212685, 0.0611192, 0.733, 1940, 2040, 2524
6203, 1808.62, -1, 79, 0.00680678, 0.0031765, 1.99283, 0.0378825, 0.0428402, 0.0200432, 0.0605978, 0.733, 1944, 2020, 2524
6204, 1838.78, -1, 79, 0.00726057, 0.00256563, 1.99315, 0.0450181, 0.0405765, 0.0178536, 0.063181, 0.734, 1948, 2008, 2528
6205, 1868.79, -1, 79, 0.00750492, 0.00195477, 1.99318, 0.0377655, 0.0343704, 0.0186949, 0.0543789, 0.735, 2052, 2004, 2512
6206, 1899.77, -1, 79, 0.00818559, 0.000488692, 1.99318, 0.029768, 0.0359205, 0.0167836, 0.0495793, 0.736, 1928, 2044, 2552
6207, 1930.09, -1, 79, 0.0082205, 0.000575959, 1.99339, 0.0261324, 0.0353461, 0.0158277, 0.0467201, 0.738, 1928, 2028, 2548
6208, 1961.58, -1, 79, 0.00830777, 0.00141372, 1.99336, 0.0277974, 0.0407404, 0.0149041, 0.0515229, 0.739, 2072, 2068, 2556
6209, 1991.53, -1, 79, 0.00856957, 0.00230383, 1.99338, 0.0245299, 0.0339701, 0.0139937, 0.0441759, 0.739, 1976, 2000, 2504
6210, 2021.35, -1, 79, 0.00856957, 0.00336849, 1.99357, 0.0205395, 0.0286966, 0.0130432, 0.037623, 0.74, 1960, 2032, 2560
