#BEGIN frameIdx[0], TimeInSec[1], FlagAnimationStart[2], batteryPercent[3], Roll[4], Pitch[5], Yaw[6], Vx[7], Vy[8], Vz[9], Vmag[10], Altitude[11], PosLatitude(ax)[12], PosLongitude(ay)[13], PosElevation(az)[14], DroneTime[15]
809, 2.424, -1, 100, -0.0146433, -0.0431271, 0.0265814, 0, -0, -0, 0, 0, 2064, 2032, 2548, 237824611
810, 41.322, -1, 100, -0.0146084, -0.0431445, 0.0265988, 0, -0, -0, 0, 0, 2064, 2032, 2548, 237869350
811, 81.844, -1, 100, -0.0146433, -0.0430747, 0.0266337, 0, -0, -0, 0, 0, 2060, 2028, 2544, 237904537
812, 120.156, -1, 100, -0.0148004, -0.0429176, 0.0266512, 0, -0, -0, 0, 0, 2064, 2028, 2548, 237944972
813, 159.138, -1, 100, -0.0149051, -0.0429176, 0.0266861, 0, -0, -0, 0, 0, 2064, 2032, 2548, 237974696
814, 198.966, -1, 100, -0.0148702, -0.04297, 0.0267035, 0, -0, -0, 0, 0, 2064, 2032, 2548, 239117289
815, 237.233, -1, 100, -0.0148702, -0.0429526, 0.0267559, 0, -0, -0, 0, 0, 2060, 2032, 2544, 239162211
816, 275.348, -1, 100, -0.0148702, -0.0429002, 0.0267734, 0, -0, -0, 0, 0, 2060, 2032, 2548, 239197306
817, 319.281, -1, 100, -0.0148178, -0.0429002, 0.0267908, 0, -0, -0, 0, 0, 2064, 2032, 2548, 239227641
818, 370.466, -1, 100, -0.0147306, -0.0429351, 0.0268606, 0, -0, -0, 0, 0, 2064, 2032, 2548, 239297923
819, 417.939, -1, 100, -0.0146782, -0.0429351, 0.026913, 0, -0, -0, 0, 0, 2064, 2032, 2548, 239337687
820, 466.326, -1, 100, -0.0147131, -0.0429351, 0.0269653, 0, -0, -0, 0, 0, 2064, 2032, 2544, 239382914
821, 516.744, -1, 100, -0.0148004, -0.0429526, 0.0269828, 0, -0, -0, 0, 0, 2064, 2032, 2544, 239438182
822, 562.908, -1, 100, -0.0147655, -0.0429875, 0.0270002, 0, -0, -0, 0, 0, 2064, 2032, 2544, 239483531
823, 607.526, -1, 100, -0.0147655, -0.0430049, 0.0270352, 0, -0, -0, 0, 0, 2064, 2032, 2548, 239528361
824, 656.135, -1, 100, -0.0147131, -0.0430573, 0.0270352, 0, -0, -0, 0, 0, 2064, 2032, 2548, 239583598
825, 700.149, -1, 100, -0.0146957, -0.0430747, 0.0270875, 0, -0, -0, 0, 0, 2060, 2032, 2548, 239623698
826, 748.449, -1, 100, -0.0146608, -0.0429176, 0.0271224, 0, -0, -0, 0, 0, 2064, 2032, 2548, 239668894
827, 800.107, -1, 100, -0.0146084, -0.0429002, 0.0271573, 0, -0, -0, 0, 0, 2064, 2032, 2548, 239709300
828, 850.766, -1, 100, -0.0145735, -0.0429351, 0.0272097, 0, -0, -0, 0, 0, 2064, 2032, 2544, 239764231
829, 899.212, -1, 100, -0.0146259, -0.0429526, 0.0272446, 0, -0, -0, 0, 0, 2064, 2032, 2544, 239819285
830, 929.214, -1, 100, -0.014591, -0.04297, 0.027262, 0, -0, -0, 0, 0, 2064, 2032, 2548, 239849467
831, 971.643, -1, 100, -0.014556, -0.0429526, 0.027262, 0, -0, -0, 0, 0, 2064, 2032, 2548, 239884715
832, 1021.11, -1, 100, -0.0145386, -0.0428827, 0.0272795, 0, -0, -0, 0, 0, 2060, 2032, 2544, 239934733
833, 1063.59, -1, 100, -0.0145386, -0.0427955, 0.0273144, 0, -0, -0, 0, 0, 2064, 2032, 2544, 239969859
834, 1104.59, -1, 100, -0.0145037, -0.0428653, 0.0273842, 0, -0, -0, 0, 0, 2064, 2032, 2544, 240030223
835, 1144.35, -1, 100, -0.0144513, -0.0428827, 0.0274017, 0, -0, -0, 0, 0, 2064, 2032, 2544, 240060191
836, 1184.95, -1, 100, -0.0144164, -0.0428653, 0.0274715, 0, -0, -0, 0, 0, 2060, 2032, 2544, 241202448
837, 1229.75, -1, 100, -0.014399, -0.0427606, 0.0274889, 0, -0, -0, 0, 0, 2064, 2032, 2544, 241247705
838, 1277.56, -1, 100, -0.0143815, -0.042778, 0.0275238, 0, -0, -0, 0, 0, 2060, 2032, 2544, 241292749
839, 1320.11, -1, 100, -0.0143815, -0.0427606, 0.0275413, 0, -0, -0, 0, 0, 2064, 2032, 2544, 241327967
840, 1364.28, -1, 100, -0.0143641, -0.042778, 0.0275413, 0, -0, -0, 0, 0, 2064, 2032, 2544, 241373041
841, 1413.05, -1, 100, -0.0143466, -0.0426733, 0.0275587, 0, -0, -0, 0, 0, 2064, 2032, 2548, 241433191
842, 1460.71, -1, 100, -0.0143117, -0.0427082, 0.0275762, 0, -0, -0, 0, 0, 2064, 2032, 2548, 241473291
843, 1509.75, -1, 100, -0.0142768, -0.0427431, 0.0276111, 0, -0, -0, 0, 0, 2064, 2032, 2548, 241533533
844, 1562.06, -1, 100, -0.0142419, -0.042778, 0.0275937, 0, -0, -0, 0, 0, 2064, 2032, 2548, 241578730
845, 1608.8, -1, 100, -0.0142244, -0.0427955, 0.0276635, 0, -0, -0, 0, 0, 2064, 2032, 2544, 241618799
846, 1655.94, -1, 100, -0.0141895, -0.042778, 0.0276809, 0, -0, -0, 0, 0, 2064, 2032, 2544, 241674036
847, 1701.93, -1, 100, -0.0141546, -0.042778, 0.0277333, 0, -0, -0, 0, 0, 2064, 2032, 2548, 241719141
848, 1750.48, -1, 100, -0.0141546, -0.0428129, 0.0277333, 0, -0, -0, 0, 0, 2064, 2032, 2548, 241764307
849, 1794.53, -1, 100, -0.0141372, -0.0428478, 0.0277682, 0, -0, -0, 0, 0, 2064, 2032, 2548, 241789423
850, 1834.16, -1, 100, -0.0139277, -0.0420973, 0.0278205, -0.0114007, 0.00731388, 0, 0.0135451, 0, 2064, 2032, 2548, 241874781
851, 1875.59, -1, 100, -0.0137881, -0.0416261, 0.0278031, -0.0146439, 0.00816966, 0, 0.0167686, 0, 2064, 2032, 2548, 241894831
852, 1915.07, -1, 100, -0.0134565, -0.0404567, 0.0278205, -0.0184854, 0.00713137, 0, 0.0198133, 0, 2064, 2032, 2544, 241940149
853, 1960.28, -1, 100, -0.0131772, -0.0395666, 0.0278205, -0.0186859, 0.00668377, 0, 0.0198453, 0, 2064, 2032, 2548, 241980097
854, 1999, -1, 100, -0.0129154, -0.0387812, 0.027838, -0.0186839, 0.00644657, 0, 0.0197648, 0, 2060, 2032, 2548, 242015192
855, 2038.4, -1, 100, -0.0126013, -0.0376293, 0.0278729, -0.0191971, 0.00625355, 0, 0.0201899, 0, 2064, 2032, 2544, 242060236
856, 2080.59, -1, 100, -0.0123395, -0.036809, 0.0278555, -0.0180901, 0.006078, 0, 0.0190839, 0, 2064, 2032, 2544, 242100336
857, 2123.45, -1, 100, -0.0120428, -0.0359189, 0.0278729, -0.0174162, 0.00589968, 0, 0.0183883, 0, 2064, 2032, 2544, 242145624
858, 2164.24, -1, 100, -0.011781, -0.0352382, 0.0279078, -0.0170224, 0.00577621, 0, 0.0179757, 0, 2064, 2032, 2544, 243277780
859, 2206.12, -1, 100, -0.0114494, -0.0342434, 0.0279078, -0.0171779, 0.00573102, 0, 0.0181087, 0, 2060, 2032, 2544, 243323068
860, 2252.2, -1, 100, -0.0111003, -0.0331089, 0.0278904, -0.0169265, 0.00579848, 0, 0.0178922, 0, 2064, 2032, 2544, 243373239
861, 2302.93, -1, 100, -0.0108734, -0.032341, 0.0279253, -0.0162849, 0.00545035, 0, 0.0171728, 0, 2060, 2032, 2544, 243413339
862, 2345.86, -1, 100, -0.0105767, -0.0313287, 0.0278904, -0.0161847, 0.0051931, 0, 0.0169975, 0, 2060, 2032, 2548, 243463784
863, 2384.91, -1, 100, -0.0105418, -0.0304909, 0.0289725, -0.0161464, 0.00438288, 0, 0.0167307, 0, 2064, 2032, 2544, 243508554
864, 2423.41, -1, 100, -0.01028, -0.0298626, 0.0292692, -0.0148321, 0.00453851, 0, 0.0155109, 0, 2060, 2036, 2536, 243543740
865, 2462.59, -1, 100, -0.01028, -0.0291645, 0.0276984, -0.0143862, 0.00430799, 0, 0.0150174, 0, 2060, 2000, 2548, 243583871
