#BEGIN frameIdx[0], TimeInSec[1], FlagAnimationStart[2], batteryPercent[3], Roll[4], Pitch[5], Yaw[6], Vx[7], Vy[8], Vz[9], Vmag[10], Altitude[11], PosLatitude(ax)[12], PosLongitude(ay)[13], PosElevation(az)[14], DroneTime[15]
4376, 1753.98, -1, 65, -0.00553269, -0.0114145, 1.92883, -0.00440788, 0.00150742, 0, 0.00465851, 0, 2044, 2036, 2528, 723631148
4377, 1792.99, -1, 65, -0.00535816, -0.0111003, 1.92889, -0.00503012, 0.00251524, 0, 0.00562392, 0, 2044, 2036, 2528, 723676375
4378, 1831.38, -1, 65, -0.00527089, -0.0109083, 1.9289, -0.00515981, 0.00248583, 0, 0.00572739, 0, 2044, 2036, 2528, 723706496
4379, 1869.89, -1, 65, -0.00507891, -0.0105941, 1.92889, -0.00518368, 0.00269651, 0, 0.00584309, 0, 2044, 2036, 2532, 723751662
4380, 1908.02, -1, 65, -0.00499164, -0.0103673, 1.92889, -0.00512565, 0.00262753, 0, 0.00575988, 0, 2044, 2032, 2532, 723786940
4381, 1949.35, -1, 65, -0.00493928, -0.0101229, 1.9289, -0.0050472, 0.00202788, 0, 0.00543935, 0, 2044, 2036, 2532, 723826979
4382, 1987.67, -1, 65, -0.00492183, -0.00991347, 1.92894, -0.00466177, 0.00159923, 0, 0.00492845, 0, 2044, 2032, 2532, 723872206
4383, 2033.18, -1, 65, -0.00490438, -0.00963422, 1.92892, -0.00475186, 0.00145557, 0, 0.0049698, 0, 2044, 2032, 2532, 723917403
4384, 2071.08, -1, 65, -0.00486947, -0.00945968, 1.92896, -0.00473997, 0.00147527, 0, 0.00496424, 0, 2044, 2032, 2532, 723947524
4385, 2117.13, -1, 65, -0.00483456, -0.00918043, 1.92896, -0.00463706, 0.00158729, 0, 0.00490121, 0, 2044, 2032, 2532, 723992873
4386, 2156.28, -1, 65, -0.0047822, -0.00898845, 1.92894, -0.00503693, 0.00146483, 0, 0.00524561, 0, 2040, 2036, 2532, 724032912
4387, 2198.99, -1, 65, -0.00460767, -0.00869174, 1.92943, -0.00467172, 0.00191101, 0, 0.00504747, 0, 2036, 2032, 2516, 724073500
4388, 2238.7, -1, 65, -0.00455531, -0.00869174, 1.92841, -0.00497745, 0.00164898, 0, 0.00524348, 0, 2036, 2032, 2528, 724103255
4389, 2285.05, -1, 65, -0.00471239, -0.00813323, 1.92978, -0.00512554, 0.00076254, 0, 0.00518196, 0, 2040, 2016, 2528, 724158553
4390, 2323.52, -1, 65, -0.00459022, -0.00790634, 1.9295, -0.00464917, 0.00179006, 0, 0.00498188, 0, 2044, 2036, 2528, 724198592
4391, 2367.97, -1, 65, -0.00443314, -0.00755728, 1.92887, -0.0049078, 0.00227013, 0, 0.0054074, 0, 2040, 2028, 2532, 724238845
4392, 2422.1, -1, 65, -0.00429351, -0.00715585, 1.92923, -0.0049222, 0.00242881, 0, 0.00548883, 0, 2040, 2040, 2532, 724294142
4393, 2466.4, -1, 65, -0.0042586, -0.00682424, 1.92936, -0.00453382, 0.00218454, 0, 0.00503266, 0, 2040, 2032, 2528, 724339553
4394, 2513.39, -1, 65, -0.00417134, -0.00663225, 1.92932, -0.00405383, 0.00184901, 0, 0.0044556, 0, 2040, 2032, 2528, 724384627
4395, 2552.81, -1, 65, -0.00415388, -0.00651008, 1.92941, -0.00348727, 0.00172226, 0, 0.00388937, 0, 2040, 2036, 2532, 724424727
4396, 2591.29, -1, 65, -0.00404916, -0.00633555, 1.92939, -0.00307327, 0.00180247, 0, 0.00356284, 0, 2048, 2032, 2528, 724469771
