#BEGIN frameIdx[0], TimeInSec[1], FlagAnimationStart[2], batteryPercent[3], Roll[4], Pitch[5], Yaw[6], Vx[7], Vy[8], Vz[9], Vmag[10], Altitude[11], PosLatitude[12], PosLongitude[13], PosElevation[14]
1263, 25.892, -1, 89, 0.00261799, -0.01494, 1.74763, 0.101768, -0.0189321, 0.0280091, 0.107236, 0.713, 0, 0, 0
1265, 26.564, -1, 89, 0.00211185, -0.0153589, 1.7473, 0.105392, -0.0145634, 0.0195432, 0.108174, 0.71, 0, 0, 0
1267, 22.992, -1, 89, 0.00191986, -0.0155683, 1.74646, 0.101442, -0.0157777, 0.0280364, 0.106421, 0.711, 0, 0, 0
1269, 37.812, -1, 89, 0.000942478, -0.0168075, 1.74582, 0.115223, -0.0152418, 0.031743, 0.120484, 0.711, 0, 0, 0
1270, 83.761, -1, 89, 0.000820305, -0.018326, 1.74591, 0.104258, -0.0129163, 0.0283336, 0.108809, 0.71, 0, 0, 0
1271, 126.971, -1, 89, -0.000331613, -0.0195651, 1.74481, 0.105823, -0.0112267, 0.0280641, 0.110055, 0.71, 0, 0, 0
1272, 172.176, -1, 89, 0.000191986, -0.0210312, 1.74442, 0.0906977, -0.0066555, 0.0266822, 0.0947751, 0.709, 0, 0, 0
1273, 221.301, -1, 89, 0.00148353, -0.0209265, 1.74386, 0.0801348, -0.0127242, 0.0348467, 0.0883051, 0.71, 0, 0, 0
1274, 265.628, -1, 89, 0.00242601, -0.0192335, 1.74376, 0.078433, -0.0181285, 0.0378212, 0.0889428, 0.711, 0, 0, 0
1275, 311.473, -1, 89, 0.00127409, -0.016633, 1.7444, 0.07399, -0.0231891, 0.0335676, 0.0844928, 0.711, 0, 0, 0
1276, 354.44, -1, 89, -0.000610865, -0.01494, 1.74392, 0.0656233, -0.0112083, 0.0338951, 0.0747056, 0.71, 0, 0, 0
1277, 392.078, -1, 89, -0.000767945, -0.0138579, 1.74318, 0.0604479, -0.0116901, 0.0408861, 0.0739072, 0.712, 0, 0, 0
1278, 429.612, -1, 89, -0.000663225, -0.0130725, 1.74217, 0.0610262, -0.0105725, 0.0411822, 0.0743771, 0.712, 0, 0, 0
1279, 471.718, -1, 89, -0.000191986, -0.012322, 1.74222, 0.0521953, -0.00948238, 0.0391972, 0.0659597, 0.712, 0, 0, 0
1280, 514.209, -1, 89, -0.000994838, -0.0105767, 1.74266, 0.0580596, -0.0117886, 0.0504013, 0.0777829, 0.714, 0, 0, 0
1281, 559.555, -1, 89, -0.00195477, -0.00881391, 1.74187, 0.0661652, -0.0097383, 0.0557814, 0.0870875, 0.717, 0, 0, 0
1282, 608.218, -1, 89, -0.00211185, -0.0084823, 1.74172, 0.0623074, -0.00462407, 0.0378835, 0.0730668, 0.714, 0, 0, 0
1283, 653.54, -1, 89, -0.0010472, -0.0104022, 1.74123, 0.0555766, -0.00161888, 0.0303656, 0.0633518, 0.712, 0, 0, 0
1284, 691.142, -1, 89, -5.23599e-05, -0.011205, 1.74016, 0.0539792, 0.000317841, 0.0365883, 0.0652117, 0.713, 0, 0, 0
1285, 716.106, -1, 89, 0.000436332, -0.0117635, 1.74016, 0.0487827, -0.00122145, 0.04488, 0.0662983, 0.715, 0, 0, 0
1286, 751.389, -1, 89, 0.000558505, -0.0117984, 1.73976, 0.0441739, -0.00318805, 0.0421794, 0.0611605, 0.714, 0, 0, 0
1287, 778.999, -1, 89, 0.000942478, -0.0117112, 1.73976, 0.0432904, -0.00246614, 0.0293898, 0.0523823, 0.712, 0, 0, 0
1288, 811.21, -1, 89, 0.0010472, -0.0118508, 1.73952, 0.0386951, -0.00370055, 0.0387839, 0.0549108, 0.713, 0, 0, 0
1289, 845.237, -1, 89, 0.00162316, -0.0119381, 1.73933, 0.0390872, -0.00295171, 0.0354976, 0.0528829, 0.712, 0, 0, 0
1290, 872.612, -1, 89, 0.00326377, -0.0113446, 1.73934, 0.0306071, 0.000215042, 0.0451549, 0.054551, 0.714, 0, 0, 0
1291, 900.034, -1, 89, 0.00394444, -0.01028, 1.73915, 0.0318426, -0.00132906, 0.0523391, 0.0612788, 0.716, 0, 0, 0
1292, 933.946, -1, 89, 0.00368264, -0.00891863, 1.73868, 0.0287845, -0.00233995, 0.0427245, 0.0515694, 0.714, 0, 0, 0
1293, 964.978, -1, 89, 0.00389208, -0.00830777, 1.73851, 0.0287018, -0.00143654, 0.0483748, 0.0562671, 0.715, 0, 0, 0
1294, 992.201, -1, 89, 0.00350811, -0.0079587, 1.73861, 0.0256786, -0.00168235, 0.0540566, 0.0598693, 0.717, 0, 0, 0
1295, 1028.27, -1, 89, 0.00389208, -0.00816814, 1.73819, 0.0269668, -0.000128828, 0.0388111, 0.0472601, 0.714, 0, 0, 0
1296, 1053.29, -1, 89, 0.00413643, -0.00832522, 1.73802, 0.0256182, -0.00250093, 0.0422065, 0.0494362, 0.714, 0, 0, 0
1297, 1084.16, -1, 89, 0.00446804, -0.00790634, 1.73831, 0.0215483, -0.00182545, 0.0481436, 0.0527776, 0.715, 0, 0, 0
1298, 1114.21, -1, 89, 0.00469494, -0.00729548, 1.73845, 0.0162787, -0.00513572, 0.0536368, 0.0562875, 0.717, 0, 0, 0
1299, 1146.11, -1, 89, 0.00424115, -0.00575959, 1.73871, 0.0136911, -0.0080811, 0.0494282, 0.051922, 0.717, 0, 0, 0
1300, 1175.97, -1, 89, 0.00390954, -0.00509636, 1.73885, 0.0166552, -0.00741741, 0.0503507, 0.05355, 0.717, 0, 0, 0
1301, 1210.47, -1, 89, 0.00404916, -0.0047822, 1.73929, 0.0158757, -0.0124667, 0.0447426, 0.0490852, 0.717, 0, 0, 0
1302, 1241.25, -1, 89, 0.00500909, -0.00575959, 1.73908, 0.0163742, -0.00868662, 0.0509264, 0.0541948, 0.718, 0, 0, 0
