#BEGIN frameIdx[0], TimeInSec[1], FlagAnimationStart[2], batteryPercent[3], Roll[4], Pitch[5], Yaw[6], Vx[7], Vy[8], Vz[9], Vmag[10], Altitude[11], PosLatitude[12], PosLongitude[13], PosElevation[14]
162, 2.253, -1, 64, 0.00141372, -0.0146782, 1.91791, 0, -0, -0, 0, 0, 0, 0, 0
163, 49.956, -1, 64, 0.00141372, -0.0146782, 1.91786, 0, -0, -0, 0, 0, 0, 0, 0
164, 101.372, -1, 64, 0.00151844, -0.0145735, 1.91782, 0, -0, -0, 0, 0, 0, 0, 0
165, 145.55, -1, 64, 0.00165806, -0.014556, 1.91779, 0, -0, -0, 0, 0, 0, 0, 0
166, 183.268, -1, 64, 0.00165806, -0.0146433, 1.91775, 0, -0, -0, 0, 0, 0, 0, 0
167, 222.199, -1, 64, 0.00164061, -0.0146259, 1.91772, 0, -0, -0, 0, 0, 0, 0, 0
168, 263.971, -1, 64, 0.00178024, -0.0145037, 1.91772, 0, -0, -0, 0, 0, 0, 0, 0
169, 303.354, -1, 64, 0.00176278, -0.0145735, 1.91772, 0, -0, -0, 0, 0, 0, 0, 0
170, 344.599, -1, 64, 0.00171042, -0.0146259, 1.9177, 0, -0, -0, 0, 0, 0, 0, 0
171, 384.491, -1, 64, 0.00169297, -0.0146259, 1.91766, 0, -0, -0, 0, 0, 0, 0, 0
172, 424.882, -1, 64, 0.00165806, -0.0146259, 1.91765, 0, -0, -0, 0, 0, 0, 0, 0
173, 469.423, -1, 64, 0.00162316, -0.0146957, 1.91759, 0, -0, -0, 0, 0, 0, 0, 0
174, 510.027, -1, 64, 0.00158825, -0.014748, 1.91754, 0, -0, -0, 0, 0, 0, 0, 0
175, 554.034, -1, 64, 0.00158825, -0.0148178, 1.91752, 0, -0, -0, 0, 0, 0, 0, 0
176, 596.956, -1, 64, 0.0015708, -0.0149226, 1.91749, 0, -0, -0, 0, 0, 0, 0, 0
177, 640.038, -1, 64, 0.00153589, -0.0149749, 1.91747, 0, -0, -0, 0, 0, 0, 0, 0
178, 679.93, -1, 64, 0.00150098, -0.0150622, 1.91745, 0, -0, -0, 0, 0, 0, 0, 0
179, 723.015, -1, 64, 0.00148353, -0.0151495, 1.91742, 0, -0, -0, 0, 0, 0, 0, 0
180, 761.542, -1, 64, 0.00143117, -0.0152193, 1.91738, 0, -0, -0, 0, 0, 0, 0, 0
181, 805.343, -1, 64, 0.00143117, -0.0152018, 1.91735, 0, -0, -0, 0, 0, 0, 0, 0
182, 853.847, -1, 64, 0.00141372, -0.0151669, 1.9173, 0, -0, -0, 0, 0, 0, 0, 0
183, 891.767, -1, 64, 0.00151844, -0.015132, 1.91724, 0, -0, -0, 0, 0, 0, 0, 0
184, 936.792, -1, 64, 0.00148353, -0.0152193, 1.91721, 0, -0, -0, 0, 0, 0, 0, 0
185, 977.668, -1, 64, 0.00146608, -0.0152716, 1.91717, 0, -0, -0, 0, 0, 0, 0, 0
186, 1026.66, -1, 64, 0.00143117, -0.0153589, 1.91709, 0, -0, -0, 0, 0, 0, 0, 0
