#BEGIN frameIdx[0], TimeInSec[1], FlagAnimationStart[2], batteryPercent[3], Roll[4], Pitch[5], Yaw[6], Vx[7], Vy[8], Vz[9], Vmag[10], Altitude[11], PosLatitude[12], PosLongitude[13], PosElevation[14]
219, 3.921, -1, 64, -0.0031765, 0.00279253, 1.7491, 0.00838079, -0.00224023, 0.00261881, 0.0090617, 0.743, 0, 0, 0
220, 49.245, -1, 64, -0.00322886, 0.00230383, 1.74933, 0.0179881, -0.0110129, 0.00556175, 0.0218126, 0.744, 0, 0, 0
221, 98.431, -1, 64, -0.00371755, 0.00214675, 1.74898, 0.014786, -0.00317525, 0.00463242, 0.0158166, 0.743, 0, 0, 0
222, 143.934, -1, 64, -0.00472984, 0.00178024, 1.74906, 0.0173409, 0.0018311, -0.00227956, 0.0175856, 0.74, 0, 0, 0
223, 182.524, -1, 64, -0.00479966, 0.0010472, 1.7491, 0.02454, -0.00275502, -0.0141471, 0.0284595, 0.736, 0, 0, 0
224, 228.46, -1, 64, -0.00469494, -0.00010472, 1.7492, 0.0231396, -0.002619, -0.00166838, 0.023347, 0.734, 0, 0, 0
225, 268.863, -1, 64, -0.00453786, -0.000680678, 1.74905, 0.0242178, 0.00605698, 0.00411145, 0.0253001, 0.734, 0, 0, 0
226, 311.419, -1, 64, -0.0047473, -0.00146608, 1.74962, 0.0269661, 0.00577625, 0.0142869, 0.0310588, 0.734, 0, 0, 0
227, 351.177, -1, 64, -0.00314159, -0.00205949, 1.74917, 0.0184304, 0.0106146, 0.0250225, 0.0328401, 0.736, 0, 0, 0
228, 394.528, -1, 64, -0.00153589, -0.00221657, 1.74898, 0.0179996, 0.0202573, 0.0294608, 0.0400285, 0.738, 0, 0, 0
229, 434.569, -1, 64, -0.000383972, -0.00188496, 1.74915, 0.00509268, 0.0129561, 0.0247956, 0.0284362, 0.738, 0, 0, 0
230, 474.608, -1, 64, -8.72665e-05, -0.00125664, 1.74892, 0.00716321, 0.0110076, 0.023613, 0.0270195, 0.739, 0, 0, 0
231, 514.662, -1, 64, -5.23599e-05, -0.000366519, 1.74924, 0.00438847, 0.00901334, 0.0262685, 0.0281164, 0.742, 0, 0, 0
232, 559.107, -1, 64, 0.000680678, 0.000994838, 1.74882, -0.00632123, 0.0111203, 0.0221026, 0.0255371, 0.743, 0, 0, 0
233, 605.419, -1, 64, 0.00118682, 0.0026529, 1.74885, 0.00549387, 0.0125609, 0.0233379, 0.0270669, 0.745, 0, 0, 0
234, 650.962, -1, 64, 0.000488692, 0.00342085, 1.74865, 0.00542378, 0.00636709, 0.0163894, 0.0184003, 0.746, 0, 0, 0
235, 698.383, -1, 64, -0.000541052, 0.0026529, 1.74854, 0.00574636, -0.00144158, 0.00369131, 0.0069803, 0.745, 0, 0, 0
236, 744.195, -1, 64, -0.0010821, 0.00190241, 1.74889, -0.000374871, 0.00529472, -0.00460625, 0.00702796, 0.744, 0, 0, 0
237, 796.708, -1, 64, -0.00144862, 0.00132645, 1.74882, 0.00117184, 0.0025829, -0.0114906, 0.0118355, 0.743, 0, 0, 0
238, 846.301, -1, 64, -0.00155334, 0.00167552, 1.74861, 0.00416807, -0.00160707, -0.0126303, 0.013397, 0.742, 0, 0, 0
239, 890.377, -1, 64, -0.00167552, 0.00216421, 1.7487, 0.00452832, 1.24434e-05, -0.0169135, 0.0175092, 0.741, 0, 0, 0
240, 930.423, -1, 64, -0.00233874, 0.00185005, 1.74854, 0.00853852, 0.00394575, -0.0168822, 0.0193257, 0.74, 0, 0, 0
241, 969.975, -1, 64, -0.00253073, 0.00120428, 1.74849, 0.0133629, -0.00402164, -0.00730226, 0.01575, 0.742, 0, 0, 0
242, 1010.56, -1, 64, -0.00193732, 0.00155334, 1.74863, 0.00412756, 0.00690466, -0.0127578, 0.0150822, 0.74, 0, 0, 0
243, 1050.85, -1, 64, -0.00171042, 0.00230383, 1.74854, 0.00357852, 0.0123225, -0.012451, 0.0178795, 0.74, 0, 0, 0
244, 1065.29, -1, 64, -0.00158825, 0.00272271, 1.74851, 0.00716994, 0.0106975, -0.0124448, 0.0179085, 0.74, 0, 0, 0
245, 1105.65, -1, 64, -0.000558505, 0.00383972, 1.74854, 0.010292, 0.0118159, -0.0100039, 0.0185908, 0.74, 0, 0, 0
246, 1146.33, -1, 64, -0.000331613, 0.00418879, 1.74873, 0.00932545, 0.0149283, -0.0100884, 0.0202878, 0.739, 0, 0, 0
247, 1186.45, -1, 64, 0.000977384, 0.00509636, 1.74885, 0.0122625, 0.013099, -0.0262733, 0.0318157, 0.735, 0, 0, 0
248, 1227.02, -1, 64, 0.00146608, 0.00511381, 1.74875, 0.0156112, 0.00747694, -0.0228269, 0.0286475, 0.734, 0, 0, 0
249, 1268.68, -1, 64, 0.00172788, 0.00481711, 1.7491, 0.0131642, 0.00839898, -0.0182692, 0.0240334, 0.733, 0, 0, 0
250, 1313.27, -1, 64, 0.00141372, 0.00441568, 1.74896, 0.000782071, 0.00567069, -0.0147641, 0.015835, 0.733, 0, 0, 0
251, 1359.56, -1, 64, 0.00218166, 0.00535816, 1.7492, 0.00737596, 0.00174671, -0.0215253, 0.0228209, 0.729, 0, 0, 0
252, 1404.03, -1, 64, 0.00106465, 0.00616101, 1.74961, 0.00711339, -0.00946733, -0.0153173, 0.019361, 0.729, 0, 0, 0
253, 1447.4, -1, 64, -8.72665e-05, 0.0066148, 1.74968, 0.00698725, -0.00423243, -0.017331, 0.0191599, 0.727, 0, 0, 0
254, 1487.58, -1, 64, -0.0010472, 0.00759218, 1.74957, 0.0184557, 0.000991323, -0.0139227, 0.0231395, 0.725, 0, 0, 0
255, 1532.17, -1, 64, -0.00137881, 0.00767945, 1.75009, 0.0176759, 0.00536053, -0.00631235, 0.0195197, 0.725, 0, 0, 0
256, 1564.26, -1, 64, -0.000715585, 0.00734784, 1.74964, 0.015731, 0.00102808, 0.0026397, 0.0159841, 0.726, 0, 0, 0
257, 1595.14, -1, 64, -0.000331613, 0.00659734, 1.74955, 0.0174876, 0.0059583, 0.00425388, 0.0189582, 0.726, 0, 0, 0
258, 1625.19, -1, 64, -0.00015708, 0.00614356, 1.74954, 0.0211033, 0.00823547, 0.00694406, 0.0236937, 0.726, 0, 0, 0
259, 1655.7, -1, 64, 0.000331613, 0.00575959, 1.74992, 0.0211611, 0.010792, 0.0172784, 0.0293735, 0.728, 0, 0, 0
260, 1686.37, -1, 64, 0.000541052, 0.00537561, 1.74959, 0.0169366, 0.0041125, 0.0199389, 0.0264825, 0.729, 0, 0, 0
261, 1717.54, -1, 64, 0.00139626, 0.00570723, 1.74983, 0.0126291, 0.0143708, 0.01973, 0.0274825, 0.73, 0, 0, 0
262, 1752.82, -1, 64, 0.00289725, 0.00612611, 1.74974, 0.019481, 0.0241497, 0.0198155, 0.0368153, 0.73, 0, 0, 0
263, 1779.56, -1, 64, 0.00382227, 0.00621337, 1.75011, 0.0280764, 0.0130309, 0.0265344, 0.0407696, 0.733, 0, 0, 0
264, 1817.35, -1, 64, 0.00469494, 0.00645772, 1.74999, 0.0184965, 0.00538802, 0.0248726, 0.031461, 0.733, 0, 0, 0
265, 1842.27, -1, 64, 0.00481711, 0.0068766, 1.74933, 0.0265379, 0.00982339, 0.0173299, 0.0331826, 0.733, 0, 0, 0
266, 1877.38, -1, 64, 0.00459022, 0.0066148, 1.75037, 0.032049, 0.00152226, 0.0106082, 0.0337934, 0.732, 0, 0, 0
267, 1902.52, -1, 64, 0.0042586, 0.00623083, 1.74999, 0.0248505, -0.000364356, 0.0108998, 0.0271383, 0.732, 0, 0, 0
268, 1933.99, -1, 64, 0.003735, 0.00523599, 1.75006, 0.0167336, 0.00301209, 0.0119711, 0.0207941, 0.733, 0, 0, 0
269, 1963.02, -1, 64, 0.00376991, 0.00479966, 1.7502, 0.0217316, 0.00285268, 0.00785506, 0.0232831, 0.732, 0, 0, 0
270, 1992.72, -1, 64, 0.00371755, 0.00450295, 1.75006, 0.0230997, 0.00354573, 0.00873398, 0.0249489, 0.732, 0, 0, 0
271, 2022.96, -1, 64, 0.00303687, 0.00406662, 1.75036, 0.0216393, 0.00654318, 0.0123756, 0.0257726, 0.733, 0, 0, 0
272, 2057.57, -1, 64, 0.00207694, 0.00205949, 1.74957, 0.0175244, 0.00957404, 0.0156368, 0.0253629, 0.734, 0, 0, 0
273, 2086.09, -1, 64, 0.00237365, -0.00230383, 1.74994, 0.0261595, 0.00910201, 0.0121004, 0.0302256, 0.734, 0, 0, 0
274, 2124.82, -1, 64, 0.00275762, -0.0060912, 1.74992, 0.0337745, 0.00878431, 0.0135213, 0.037426, 0.734, 0, 0, 0
275, 2147.71, -1, 64, 0.00258309, -0.0092677, 1.74955, 0.0252905, 0.00651076, 0.0141854, 0.0297191, 0.735, 0, 0, 0
276, 2176.05, -1, 64, 0.00277507, -0.010821, 1.74992, 0.0216896, 0.00931561, 0.00970824, 0.0255239, 0.734, 0, 0, 0
277, 2206.29, -1, 64, 0.00312414, -0.0128107, 1.74943, 0.0175526, 0.0110412, 0.0152948, 0.0257669, 0.735, 0, 0, 0
278, 2242.3, -1, 64, 0.00324631, -0.0134914, 1.74945, 0.00419371, 0.0116008, 0.0104012, 0.0161353, 0.735, 0, 0, 0
279, 2267.69, -1, 64, 0.0039619, -0.0134565, 1.74961, 0.00472044, 0.00615024, 0.0109754, 0.0134375, 0.735, 0, 0, 0
280, 2299.64, -1, 64, 0.00439823, -0.0131423, 1.74889, 0.00757537, -0.00807945, 0.0217994, 0.0244515, 0.738, 0, 0, 0
281, 2333.25, -1, 64, 0.00432842, -0.0121475, 1.7495, -0.0103186, -0.00649071, 0.0213617, 0.0245952, 0.738, 0, 0, 0
282, 2364.34, -1, 64, 0.00347321, -0.0112399, 1.74892, -0.0134756, -0.00794347, 0.0204438, 0.0257418, 0.739, 0, 0, 0
283, 2391.43, -1, 64, 0.00246091, -0.00970403, 1.74929, -0.00952734, -0.00180757, 0.0191706, 0.0214837, 0.74, 0, 0, 0
284, 2421.65, -1, 64, 0.00193732, -0.00816814, 1.7492, -0.0044282, 0.00368833, 0.0233562, 0.0240567, 0.742, 0, 0, 0
285, 2451.4, -1, 64, 0.00185005, -0.00736529, 1.7492, -0.00826244, -0.00500045, 0.0166015, 0.0192063, 0.741, 0, 0, 0
286, 2484.98, -1, 64, 0.00141372, -0.00637045, 1.74929, -0.0135987, 0.000246048, 0.0198318, 0.0240475, 0.742, 0, 0, 0
287, 2512.49, -1, 64, 0.00113446, -0.00406662, 1.74859, -0.0070558, 0.00542761, 0.0181654, 0.0202293, 0.743, 0, 0, 0
288, 2547.41, -1, 64, 0.000837758, 0.000296706, 1.74903, -0.0352715, 0.00478589, 0.0139718, 0.0382386, 0.743, 0, 0, 0
289, 2580.55, -1, 64, 0.000366519, 0.0106465, 1.74905, -0.0343682, -0.0149831, 0.0128218, 0.039624, 0.743, 0, 0, 0
290, 2607.55, -1, 64, 0.00010472, 0.0215374, 1.74912, -0.0361886, -0.00314422, 0.0121619, 0.0383069, 0.744, 0, 0, 0
291, 2638.48, -1, 64, 0.000506145, 0.0330914, 1.74922, -0.0212173, -0.00518975, 0.0114132, 0.0246448, 0.744, 0, 0, 0
292, 2667.33, -1, 64, 0.00139626, 0.0446804, 1.74933, -0.0120041, -0.00858905, 0.00707383, 0.016368, 0.743, 0, 0, 0
293, 2700.41, -1, 64, 0.00164061, 0.0575261, 1.74948, -0.0406988, 1.52405e-06, 0.00900026, 0.0416821, 0.744, 0, 0, 0
294, 2727.1, -1, 64, 0.00176278, 0.0643328, 1.7494, -0.0150348, 0.00430633, 0.00294745, 0.0159147, 0.743, 0, 0, 0
295, 2760.68, -1, 64, 0.000471239, 0.0770737, 1.74974, -0.00894103, 0.00469878, 0.0063683, 0.0119405, 0.744, 0, 0, 0
296, 2794.63, -1, 64, 1.74533e-05, 0.0837234, 1.74948, 0.0358572, -0.0039573, 0.00637353, 0.0366336, 0.744, 0, 0, 0
297, 2825.66, -1, 64, 1.74533e-05, 0.0875981, 1.74966, 0.044555, -0.00272121, 0.00647196, 0.0451048, 0.744, 0, 0, 0
298, 2856.76, -1, 64, -1.74533e-05, 0.0933926, 1.74966, 0.0982866, 0.00885088, -9.1618e-05, 0.0986844, 0.743, 0, 0, 0
299, 2883.2, -1, 64, -0.000488692, 0.0972497, 1.74933, 0.120692, 0.0058041, 0.000103697, 0.120831, 0.743, 0, 0, 0
300, 2916.71, -1, 64, -0.000994838, 0.100705, 1.7495, 0.145892, -0.00284119, 0.00127346, 0.145925, 0.743, 0, 0, 0
301, 2945.31, -1, 64, -0.00137881, 0.102311, 1.7494, 0.147053, -0.00140893, 0.00960272, 0.147373, 0.744, 0, 0, 0
302, 2974.31, -1, 64, -0.00174533, 0.10376, 1.74905, 0.207778, 0.000178773, 0.0236595, 0.209121, 0.747, 0, 0, 0
303, 3011.43, -1, 64, -0.00197222, 0.106133, 1.74931, 0.214781, 0.0403738, 0.0218696, 0.219635, 0.749, 0, 0, 0
304, 3037.95, -1, 64, -0.00191986, 0.106709, 1.74912, 0.205632, 0.0714359, 0.020059, 0.21861, 0.749, 0, 0, 0
305, 3067.4, -1, 64, -0.00141372, 0.106884, 1.7492, 0.273542, 0.0361434, 0.0133681, 0.276243, 0.749, 0, 0, 0
306, 3104.51, -1, 64, -0.000750492, 0.106483, 1.74903, 0.302491, 0.0346303, 0.011794, 0.304696, 0.75, 0, 0, 0
307, 3130.62, -1, 64, -0.000401426, 0.106099, 1.74905, 0.336783, 0.0271969, 0.00920192, 0.338004, 0.75, 0, 0, 0
308, 3167.86, -1, 64, -0.000191986, 0.105749, 1.74919, 0.368376, 0.0173498, 0.0131645, 0.369019, 0.751, 0, 0, 0
309, 3192.25, -1, 64, 0.000244346, 0.104877, 1.74898, 0.389392, 0.0358926, 0.0110305, 0.391198, 0.751, 0, 0, 0
310, 3223.16, -1, 64, 0.000418879, 0.104074, 1.74912, 0.421398, 0.0154144, 0.0050215, 0.42171, 0.751, 0, 0, 0
311, 3255.65, -1, 64, 0.000663225, 0.103009, 1.74947, 0.464165, 0.00562083, -0.00487265, 0.464225, 0.749, 0, 0, 0
312, 3282.76, -1, 64, 0.000506145, 0.102067, 1.74912, 0.490345, 0.0046404, -0.00443051, 0.490387, 0.749, 0, 0, 0
313, 3319.24, -1, 64, 0.000331613, 0.100217, 1.74947, 0.514358, 0.025378, 0.00196854, 0.514987, 0.75, 0, 0, 0
314, 3344.03, -1, 64, -3.49066e-05, 0.099379, 1.74959, 0.532032, 0.0176714, 0.00351533, 0.532337, 0.751, 0, 0, 0
315, 3374.15, -1, 64, -0.000471239, 0.098646, 1.74962, 0.543481, 0.00697246, -0.00476221, 0.543546, 0.75, 0, 0, 0
316, 3405.33, -1, 64, -0.000767945, 0.0968832, 1.74988, 0.571999, 0.00255514, -0.00441849, 0.572022, 0.75, 0, 0, 0
317, 3442.8, -1, 64, -0.000523599, 0.0957139, 1.74988, 0.608962, 0.0016791, -0.00364628, 0.608975, 0.749, 0, 0, 0
318, 3471.18, -1, 64, -0.000244346, 0.0943001, 1.75009, 0.657666, 0.00409005, -0.00555257, 0.657702, 0.749, 0, 0, 0
319, 3502.2, -1, 64, -0.000191986, 0.0930086, 1.75011, 0.666415, -0.00344225, -0.00464811, 0.66644, 0.749, 0, 0, 0
320, 3534.19, -1, 64, -0.000523599, 0.0923628, 1.75027, 0.667464, -0.00570803, -0.0123344, 0.667602, 0.747, 0, 0, 0
321, 3559.67, -1, 64, -0.000820305, 0.09156, 1.75018, 0.714807, -0.0061263, -0.0101021, 0.714905, 0.747, 0, 0, 0
322, 3596.02, -1, 64, -0.000610865, 0.09156, 1.75013, 0.753609, -0.0149765, -0.00832574, 0.753804, 0.746, 0, 0, 0
323, 3620.23, -1, 64, -0.000488692, 0.0914553, 1.75016, 0.75082, -0.0117597, -0.00678808, 0.750943, 0.746, 0, 0, 0
324, 3657.07, -1, 64, -0.000366519, 0.0903731, 1.75041, 0.746379, 0.0245737, 0.00700143, 0.746816, 0.749, 0, 0, 0
325, 3685.22, -1, 64, -0.000471239, 0.0903382, 1.75008, 0.774076, 0.0200308, 0.00669427, 0.774364, 0.749, 0, 0, 0
326, 3713.38, -1, 64, -0.000872665, 0.0896401, 1.75013, 0.813148, 0.011155, 0.00608158, 0.813247, 0.75, 0, 0, 0
327, 3743.18, -1, 64, -0.00127409, 0.0891514, 1.74992, 0.76531, 0.0234605, 0.0102679, 0.765739, 0.751, 0, 0, 0
328, 3774.07, -1, 64, -0.0015708, 0.0887849, 1.74976, 0.798654, 0.0199191, 0.00357721, 0.798911, 0.75, 0, 0, 0
329, 3804.64, -1, 64, -0.00226893, 0.087825, 1.74985, 0.851188, 0.01079, 0.0071632, 0.851286, 0.751, 0, 0, 0
330, 3834.89, -1, 64, -0.00263545, 0.0865334, 1.74969, 0.878898, 0.0185932, 0.00555146, 0.879112, 0.751, 0, 0, 0
331, 3871.43, -1, 64, -0.0029147, 0.0852244, 1.74959, 0.926624, 0.0112328, 0.0144915, 0.926805, 0.754, 0, 0, 0
332, 3896.42, -1, 64, -0.00338594, 0.0830079, 1.7498, 0.857469, -0.00862615, 0.0173867, 0.857689, 0.755, 0, 0, 0
333, 3932.29, -1, 64, -0.00328122, 0.0819607, 1.74948, 0.850057, -0.00827037, 0.0142306, 0.850217, 0.756, 0, 0, 0
334, 3960.45, -1, 64, -0.00301942, 0.0812974, 1.74969, 0.873671, 0.00288638, 0.0148662, 0.873803, 0.757, 0, 0, 0
335, 3990.24, -1, 64, -0.00286234, 0.0810531, 1.7494, 0.919534, 0.0120629, 0.0123764, 0.919697, 0.758, 0, 0, 0
336, 4019.05, -1, 64, -0.00214675, 0.0807215, 1.74947, 0.89183, 0.018439, 0.0132458, 0.892119, 0.759, 0, 0, 0
337, 4054.97, -1, 64, -0.00197222, 0.0803201, 1.74926, 0.947617, 0.0224068, 0.00750998, 0.947912, 0.759, 0, 0, 0
338, 4080.65, -1, 64, -0.00267035, 0.0795347, 1.74922, 0.955824, 0.022762, 0.00619536, 0.956115, 0.76, 0, 0, 0
339, 4117.32, -1, 64, -0.0026529, 0.0792379, 1.74973, 0.961351, 0.0286107, 0.0025163, 0.96178, 0.76, 0, 0, 0
340, 4142.69, -1, 64, -0.00260054, 0.0788191, 1.74936, 0.969377, 0.0320357, 0.0109034, 0.969968, 0.762, 0, 0, 0
341, 4176.56, -1, 64, -0.00254818, 0.0792903, 1.74913, 0.998019, 0.0283317, 0.0169296, 0.998565, 0.764, 0, 0, 0
342, 4204.62, -1, 64, -0.00162316, 0.0804946, 1.74945, 1.05975, 0.0453511, 0.00894655, 1.06076, 0.765, 0, 0, 0
343, 4239.15, -1, 64, -0.000680678, 0.0811927, 1.74905, 1.06027, 0.0604631, 0.00383128, 1.062, 0.765, 0, 0, 0
344, 4265.61, -1, 64, 0, 0.0811578, 1.74927, 1.04047, 0.0750075, 0.00239303, 1.04318, 0.766, 0, 0, 0
345, 4296.36, -1, 64, 0, 0.0809135, 1.74915, 1.07313, 0.0932684, 0.00850243, 1.07721, 0.767, 0, 0, 0
346, 4325.75, -1, 64, -0.000715585, 0.0808611, 1.74924, 1.16682, 0.0792497, 0.00165816, 1.16951, 0.768, 0, 0, 0
347, 4358.1, -1, 64, -0.00127409, 0.0813672, 1.75008, 1.2201, 0.0636996, -0.00367942, 1.22176, 0.768, 0, 0, 0
348, 4385.91, -1, 64, -0.00125664, 0.0817163, 1.74899, 1.22504, 0.0643907, 0.00393288, 1.22673, 0.771, 0, 0, 0
349, 4416.43, -1, 64, -0.00109956, 0.0817687, 1.74954, 1.15055, 0.068982, 0.00373136, 1.15262, 0.771, 0, 0, 0
350, 4448.52, -1, 64, -0.000977384, 0.0817687, 1.74961, 1.19993, 0.0563514, 0.00489371, 1.20127, 0.773, 0, 0, 0
351, 4482.11, -1, 64, -0.000698132, 0.082205, 1.74948, 1.20949, 0.0521484, -0.00230597, 1.21062, 0.773, 0, 0, 0
352, 4508.51, -1, 64, -0.000593412, 0.0829206, 1.74985, 1.2137, 0.0731233, -0.00609808, 1.21592, 0.773, 0, 0, 0
353, 4543.52, -1, 64, -0.000663225, 0.0833395, 1.74973, 1.18885, 0.095412, -0.00765897, 1.1927, 0.774, 0, 0, 0
354, 4569.05, -1, 64, -0.000349066, 0.0838456, 1.74959, 1.16972, 0.112163, -0.0128133, 1.17515, 0.774, 0, 0, 0
355, 4599.37, -1, 64, -0.00125664, 0.0839154, 1.74959, 1.20226, 0.129969, -0.0101378, 1.20931, 0.775, 0, 0, 0
356, 4630.27, -1, 64, -0.00164061, 0.0836885, 1.74985, 1.2051, 0.128187, -0.0116363, 1.21196, 0.776, 0, 0, 0
357, 4661.64, -1, 64, -0.00151844, 0.0836711, 1.74966, 1.2085, 0.1267, -0.00563635, 1.21514, 0.778, 0, 0, 0
358, 4700.84, -1, 64, -0.000436332, 0.0851895, 1.75008, 1.21227, 0.123154, -0.00577138, 1.21853, 0.78, 0, 0, 0
359, 4742.11, -1, 64, -0.000401426, 0.0860447, 1.74987, 1.21596, 0.121607, 0.000293515, 1.22203, 0.782, 0, 0, 0
360, 4780.1, -1, 64, -0.00113446, 0.0866731, 1.74987, 1.22135, 0.11827, 0.0014161, 1.22706, 0.785, 0, 0, 0
361, 4823.39, -1, 64, -0.000733038, 0.087982, 1.75016, 1.24827, 0.107761, -0.00550649, 1.25292, 0.786, 0, 0, 0
362, 4868.86, -1, 64, 0.000506145, 0.0888722, 1.75004, 1.37558, 0.0891928, -0.0107985, 1.37851, 0.787, 0, 0, 0
363, 4909.95, -1, 64, 0.000191986, 0.0889943, 1.75001, 1.37679, 0.0862086, -0.0236512, 1.37969, 0.787, 0, 0, 0
364, 4952.54, -1, 64, -0.00162316, 0.0881915, 1.74995, 1.37613, 0.0843138, -0.0283582, 1.379, 0.787, 0, 0, 0
365, 4974.73, -1, 64, -0.00274017, 0.087441, 1.7498, 1.37653, 0.0838279, -0.0209812, 1.37924, 0.789, 0, 0, 0
366, 5022.32, -1, 64, -0.00366519, 0.0871094, 1.74922, 1.37598, 0.0836981, -0.022081, 1.3787, 0.79, 0, 0, 0
367, 5071.68, -1, 64, -0.00485202, 0.0868999, 1.74927, 1.37405, 0.0832361, -0.0367635, 1.37705, 0.789, 0, 0, 0
368, 5115.94, -1, 64, -0.00445059, 0.0860971, 1.74838, 1.37282, 0.084375, -0.0364974, 1.37589, 0.789, 0, 0, 0
369, 5166.61, -1, 64, -0.00111701, 0.0846136, 1.74856, 1.37007, 0.0825622, -0.0392769, 1.37312, 0.79, 0, 0, 0
